time="2023-01-25T17:44:30+08:00" level=info msg="Mixed(http+socks) proxy listening at: [::]:7891"
time="2023-01-25T17:44:30+08:00" level=info msg="RESTful API listening at: 127.0.0.1:9090"
time="2023-01-25T17:44:30+08:00" level=info msg="Start initial compatible provider 🔰国外流量"
time="2023-01-25T17:44:30+08:00" level=info msg="Start initial compatible provider 🎬国外媒体"
time="2023-01-25T17:44:30+08:00" level=info msg="Start initial compatible provider 🎬Youtube"
time="2023-01-25T17:44:30+08:00" level=info msg="Start initial compatible provider 🎬Netflix"
time="2023-01-25T17:44:30+08:00" level=info msg="Start initial compatible provider 🚀直接连接"
time="2023-01-25T17:44:30+08:00" level=info msg="Start initial compatible provider 🎬哔哩哔哩"
time="2023-01-25T17:44:30+08:00" level=info msg="Start initial compatible provider ✈️Telegram"
time="2023-01-25T17:44:30+08:00" level=info msg="Start initial compatible provider ⚓️其他流量"
time="2023-01-25T17:44:30+08:00" level=info msg="Start initial compatible provider 🍎苹果服务"
time="2023-01-25T17:50:05+08:00" level=info msg="[TCP] 127.0.0.1:55278 --> push.services.mozilla.com:443 using GLOBAL"
time="2023-01-25T17:50:08+08:00" level=info msg="[TCP] 127.0.0.1:55290 --> alive.github.com:443 using GLOBAL"
time="2023-01-25T17:51:02+08:00" level=info msg="[TCP] 127.0.0.1:46052 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-25T17:51:02+08:00" level=info msg="[TCP] 127.0.0.1:46036 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-25T17:51:02+08:00" level=info msg="[TCP] 127.0.0.1:46012 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-25T17:51:02+08:00" level=info msg="[TCP] 127.0.0.1:46028 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-25T17:51:02+08:00" level=info msg="[TCP] 127.0.0.1:46100 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-25T17:51:02+08:00" level=info msg="[TCP] 127.0.0.1:46124 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-25T17:51:02+08:00" level=info msg="[TCP] 127.0.0.1:46102 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-25T17:51:02+08:00" level=info msg="[TCP] 127.0.0.1:46078 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-25T17:51:02+08:00" level=info msg="[TCP] 127.0.0.1:46112 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-25T17:51:02+08:00" level=info msg="[TCP] 127.0.0.1:46128 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-25T17:51:02+08:00" level=info msg="[TCP] 127.0.0.1:45984 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-25T17:51:02+08:00" level=info msg="[TCP] 127.0.0.1:46064 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-25T17:51:02+08:00" level=info msg="[TCP] 127.0.0.1:46058 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-25T17:51:02+08:00" level=info msg="[TCP] 127.0.0.1:46142 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-25T17:51:02+08:00" level=info msg="[TCP] 127.0.0.1:46086 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-25T17:51:02+08:00" level=info msg="[TCP] 127.0.0.1:46020 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-25T17:51:02+08:00" level=info msg="[TCP] 127.0.0.1:46158 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-25T17:51:02+08:00" level=info msg="[TCP] 127.0.0.1:45996 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-25T17:51:02+08:00" level=info msg="[TCP] 127.0.0.1:46066 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-25T17:51:07+08:00" level=info msg="[TCP] 127.0.0.1:46362 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-25T17:51:07+08:00" level=info msg="[TCP] 127.0.0.1:46166 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-25T17:51:07+08:00" level=info msg="[TCP] 127.0.0.1:46206 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-25T17:51:07+08:00" level=info msg="[TCP] 127.0.0.1:46178 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-25T17:51:07+08:00" level=info msg="[TCP] 127.0.0.1:46322 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-25T17:51:07+08:00" level=info msg="[TCP] 127.0.0.1:46332 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-25T17:51:07+08:00" level=info msg="[TCP] 127.0.0.1:46248 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-25T17:51:07+08:00" level=info msg="[TCP] 127.0.0.1:46204 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-25T17:51:07+08:00" level=info msg="[TCP] 127.0.0.1:46320 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-25T17:51:07+08:00" level=info msg="[TCP] 127.0.0.1:46346 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-25T17:51:07+08:00" level=info msg="[TCP] 127.0.0.1:46164 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-25T17:51:07+08:00" level=info msg="[TCP] 127.0.0.1:46194 --> 20.205.243.166:443 using GLOBAL"
